kpi01,NR RRC建立请求次数,count(NR RRC Setup Request)
kpi02,NR RRC建立成功次数,count(NR RRC Setup Success)
kpi03,NR RRC建立失败次数,count(NR RRC Setup Failure)
kpi04,NR RRC建立成功率,count(NR RRC Setup Success)/count(NR RRC Setup Request)
kpi05,NR连接释放总次数,count(NR RRC Release)+count(NR RadioLink Failure)
kpi06,NR连接异常释放次数（掉线次数）,count(NR RadioLink Failure)
kpi07,NR掉线率（异常释放/释放总次数）,count(NR RadioLink Failure)/[(count(NR RRC Release)+count(NR RadioLink Failure)]
kpi08,5G系统内切换尝试次数,count(NR IntraFreq-Handover Start)+count(NR InterFreq-Handover Start)
kpi09,5G系统内切换成功次数,count(NR IntraFreq-Handover Success)+count(NR InterFreq-Handover Success)
kpi10,5G系统内切换失败次数,count(NR IntraFreq-Handover Failure)+count(NR InterFreq-Handover Failure)
kpi11,5G系统内切换成功率,[count(NR IntraFreq-Handover Failure)+count(NR InterFreq-Handover Failure)]/[count(NR IntraFreq-Handover Start)+count(NR InterFreq-Handover Start)]
kpi12,5G->4G重定向请求次数,count(NR2L_REDIRECTED_START)
kpi13,5G->4G重定向成功次数,count(NR2L_REDIRECTED_SUCC)
kpi14,5G->4G重定向失败次数,count(NR2L_REDIRECTED_FAIL)
kpi15,5G->4G重定向成功率,count(NR2L_REDIRECTED_SUCC)/count(NR2L_REDIRECTED_START)
kpi16,5G->4G切换请求次数,count(Mobility From NR Start)
kpi17,5G->4G切换成功次数,count(Mobility From NR Success)
kpi18,5G->4G切换失败次数,count(Mobility From NR Failure)
kpi19,5G->4G切换成功率,count(Mobility From NR Success)/count(Mobility From NR Start)
kpi20,4G->5G重定向请求次数,count(L2NR_REDIRECTED_START)
kpi21,4G->5G重定向成功次数,count(L2NR_REDIRECTED_SUCC)
kpi22,4G->5G重定向失败次数,count(L2NR_REDIRECTED_FAIL)
kpi23,4G->5G重定向成功率,count(L2NR_REDIRECTED_SUCC)/count(L2NR_REDIRECTED_START)
kpi24,4G->5G切换请求次数,count(EUTRA Handover to NR Start)
kpi25,4G->5G切换成功次数,count(EUTRA Handover to NR Success)
kpi26,4G->5G切换失败次数,count(EUTRA Handover to NR Failure)
kpi27,4G->5G切换成功率,count(EUTRA Handover to NR Success)/count(EUTRA Handover to NR Start)
vfb28,EPS FallBack尝试次数,count(EPSFallBack Start)
vfb29,EPS FallBack成功次数,count(EPSFallBack Success)
vfb30,EPS FallBack失败次数,count(EPSFallBack Failure)
vfb31,EPS FallBack成功率,count(EPSFallBack Success)/count(EPSFallBack Start)
vfb32,FR尝试次数,count(Fast_Return_Start)
vfb33,FR成功次数,count(Fast_Return_Success)
vfb34,FR失败次数,count(Fast_Return_Failure)
vfb35,FR成功率,count(Fast_Return_Success)/count(Fast_Return_Start)
vfb36,IMS注册尝试次数,count(SIP REGISTER ATTEMPT)
vfb37,IMS注册成功次数,count(SIP REGISTER SUCCESS)
vfb38,IMS注册失败次数,count(SIP REGISTER FAILURE)
vfb39,IMS注册成功率,count(SIP REGISTER SUCCESS)/count(SIP REGISTER ATTEMPT)
vfb40,VoLTE呼叫尝试次数,count(Outgoing SIP Call Attempt)
vfb41,VoLTE呼叫成功次数,count(Outgoing SIP Call Connect)
vfb42,VOLTE语音建立成功率,count(Outgoing SIP Call Connect)/count(Outgoing SIP Call Attempt)
vfb43,VoLTE掉话次数,count(Outgoing SIP Call Drop)
vfb44,VOLTE掉话率,count(Outgoing SIP Call Drop)/count(Outgoing SIP Call Connect)
vfb45,LTE HO尝试次数,count(LTE Interfreq Handover Start)+count(LTE Intrafreq Handover Start)
vfb46,LTE HO成功次数,count(LTE Interfreq Handover Success)+count(LTE Intrafreq Handover Success)
vfb47,LTE HO失败次数,count(LTE Interfreq Handover Failure)+count(LTE Intrafreq Handover Failure)
vfb48,LTE HO成功率,[count(LTE Interfreq Handover Success)+count(LTE Intrafreq Handover Success)]/[count(LTE Interfreq Handover Start)+count(LTE Intrafreq Handover Start)]
vfb49,eSRVCC尝试次数,count(SRVCC Handover Start)
vfb50,eSRVCC成功次数,count(SRVCC Handover Success)
vfb51,eSRVCC成功率,count(SRVCC Handover Success)/count(SRVCC Handover Start)